id,listtype,list,listnum,category,letter,itemnum,response,rt,semantic,phonological,overlap,hard_switch,soft_switch,any_switch,cue_combo,cue_valid,condition
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,6,screwdriver,5907,yes,no,no,no,no,no,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,7,hammer,4123,yes,yes,yes,no,yes,yes,both,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,8,how,3787,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,9,hey,1603,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,10,hi,1636,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,11,heart,2267,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,12,harsh,2856,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,13,horse,1671,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,14,hung,2436,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,15,hungry,4006,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,16,hang,1101,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,17,hertz,4207,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,18,hop,3756,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,1,chair,4395,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,2,table,4718,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,3,desk,1437,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,4,lamp,9000,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,5,bedstand,2578,no,no,no,no,no,no,neither,no,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,6,counter,3522,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,7,cabinet,2160,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,8,sofa,1169,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,9,couch,1720,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_3,semantic,3,furniture,,10,dresser,13706,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,1,ear,4333,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,2,eye,1253,yes,no,no,no,no,no,semantic_only,yes,semantic
